,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
39, 3GCPCREC7HG395752,Chevrolet,Silverado,LT Crew Cab Short Box 2WD,2017,"171,336",18,24,5.3, Automatic, RWD,Gas,Silver,Black,0,1, Personal use,"Seguin, TX","18,999"
40, 3FA6P0H7XGR340800,Ford,Fusion,SE FWD,2016,"48,547",22,34,2.5, Automatic, FWD,Gas,Black,Beige,0,1, Personal use,"Plano, TX","15,900"
41, 3GNAXKEV6KS513546,Chevrolet,Equinox,LT with 1LT FWD,2019,"87,546",26,32,1.5, Automatic, FWD,Gas,Silver,Gray,0,2, Personal use,"Merrillville, IN","16,295"
42, 1N4BL4BV7LC235861,Nissan,Altima,2.5 S FWD,2020,"53,394",28,39,2.5, Automatic, FWD,Gas,Gray,Black,0,1, Fleet use,"Elizabeth City, NC","21,995"
43, 1GCUYGED9LZ236774,Chevrolet,Silverado,LTZ Crew Cab Short Bed 4WD,2020,"143,999",16,22,5.3, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Lillington, NC","34,000"
44, 5XXGT4L32LG438136,Kia,Optima,LX Automatic,2020,"61,729",24,32,2.4, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Houston, TX","19,000"
45, JTDEPRAE4LJ034621,Toyota,Corolla,LE CVT,2020,"51,678",30,38,1.8, Automatic, FWD,Gas,Black,Black,1,1, Personal use,"Sunnyvale, CA","19,995"
46, 1N4BL4BV6LN318623,Nissan,Altima,2.5 S FWD,2020,"50,834",28,39,2.5, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"Elizabeth City, NC","22,295"
47, 3KPFK4A71HE137569,Kia,Forte,LX Sedan Automatic,2017,"95,915",29,38,2.0, Automatic, FWD,Gas,Red,Black,1,2, Fleet use,"Austin, TX","9,987"
48, 1FTEW1EB4MKD56742,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2021,"10,438",19,22,3.3, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"West Palm Beach, FL","40,599"
49, 1G1ZD5ST3LF092893,Chevrolet,Malibu,LT,2020,"43,725",29,36,1.5, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Fredericksburg, VA","19,800"
50, 1FTEW1EB4KFC09875,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"72,382",18,23,3.3, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Jacksonville, FL","33,990"
51, 1FTEW1E50LKD78309,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,"70,300",18,23,5.0, Automatic, 4WD,Gas,Black,Gray,0,1, Personal use,"Gulfport, MS","33,400"
52, 2HGFC1E51KH708320,Honda,Civic,Si Sedan,2019,"152,534",28,38,1.5, Manual, FWD,Gas,Silver,Gray,0,1, Personal use,"Midway, CA","18,980"
53, 1N4BL4BV0LC254459,Nissan,Altima,2.5 S FWD,2020,"32,798",28,39,2.5, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Phoenix, AZ","21,740"
54, 3FA6P0K96ER207488,Ford,Fusion,Titanium FWD,2014,"83,328",22,33,2.0, Automatic, FWD,Gas,Black,Unknown,0,2, Personal use,"Pasadena, TX","11,666"
