,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
1883, JM3KFBDM3K0593427,Mazda,['CX-5'],Grand Touring AWD,2019,"23,012",24,30, Automatic, AWD,Gas,White,Black,0,1, Personal use,"Newport Beach, CA","31,499"
1884, YV1902MD7F1183121,Volvo,['S80'],T6 Platinum AWD,2015,"82,766",19,28, Automatic, AWD,Gas,White,Black,1,1, Personal use,"Bowling Green, KY","19,998"
1885, JTJDZKCA4K2020103,Lexus,['RX'],RX 350L Premium AWD,2019,"45,035",18,25, Automatic, AWD,Gas,White,Black,0,2, Personal use,"Pueblo, CO","43,627"
1886, 3FA6P0HD0KR203699,Ford,['Fusion'],SE FWD,2019,"52,327",23,34, Automatic, FWD,Gas,Silver,Unknown,0,3, Fleet use,"Braintree, MA","19,590"
1887, WDDEJ9EB1CA028525,Mercedes-Benz,['CL'],CL 550 4MATIC,2012,"28,941",15,24, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Huntington Station, NY","37,499"
1888, 1G6AL1RY8J0169620,Cadillac,['ATS-V'],Coupe,2018,"30,267",16,23, Manual, RWD,Gas,Gray,Black,1,1, Personal use,"Little Rock, AR","52,908"
1889, KNDJP3A5XK7008595,Kia,['Soul'],#NAME?,2019,"63,460",25,30, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Phoenix, AZ","18,500"
1890, 3C6JR7DT1JG167706,Ram,['1500'],Tradesman 4x4 Reg Cab 8' Box,2018,"73,451",16,23, Automatic, 4WD,Gas,Black,Gray,0,1, Personal use,"Lima, OH","25,000"
1891, 1G1ZA5EU2CF392664,Chevrolet,['Malibu'],4dr Sedan LS w/1FL,2012,"78,531",22,33, Automatic, FWD,Gas,White,Gray,1,1, Personal use,"Jacksonville, FL","13,988"
1892, 5UXWX9C36H0W69870,BMW,['X3'],xDrive28i AWD,2017,"54,159",21,28, Automatic, AWD,Gas,White,Black,0,2, Personal use,"Georgetown, TX","27,012"
1893, JTMBFREV8GJ090342,Toyota,['RAV4'],LE AWD,2016,"132,713",22,29, Automatic, AWD,Gas,Gray,Black,0,2, Personal use,"San Antonio, TX","16,900"
